time,icmp_count,syn_count,udp53_count,unique_dst_ports,total_packets
2026-01-02T16:48:03,0,0,0,0,1
2026-01-02T16:49:07,0,0,0,0,2
2026-01-02T16:50:16,0,1,0,1,2
2026-01-02T16:50:45,0,10,0,11,20
2026-01-02T16:51:39,0,88,0,89,171
2026-01-02T16:51:58,1,0,0,0,7
2026-01-02T16:52:08,1316,0,0,0,1316
2026-01-02T16:52:18,1322,0,0,0,1322
2026-01-02T16:53:02,1123,0,0,0,1124
2026-01-02T16:54:07,0,0,0,0,2
2026-01-02T16:57:27,0,0,0,0,2
2026-01-02T16:59:07,0,0,0,0,1
2026-01-02T17:01:51,0,0,0,0,2
2026-01-02T17:04:07,0,0,0,0,2
2026-01-02T17:05:49,0,0,0,0,1
2026-01-02T17:06:40,0,0,0,0,2
2026-01-02T17:09:56,1,0,0,0,1
2026-01-02T17:10:06,1310,0,0,0,1310
2026-01-02T17:10:16,1306,0,0,0,1307
2026-01-02T17:12:18,195,92,0,93,378
2026-01-02T17:14:06,0,0,0,0,3
2026-01-02T17:15:34,1,0,0,0,2
2026-01-02T17:15:44,4259,0,0,0,4259
2026-01-02T17:15:54,3387,0,0,0,3387
2026-01-02T17:16:19,1102,0,0,0,1103
2026-01-02T17:16:34,0,91,0,92,180
2026-01-02T17:17:31,0,1,0,1,1
2026-01-02T17:17:41,0,1740,0,770,3816
2026-01-02T17:17:51,0,1316,0,332,2718
2026-01-02T17:18:01,0,1636,0,448,3298
2026-01-02T17:18:11,0,1273,0,480,2751
2026-01-02T17:18:21,0,1449,0,531,3062
2026-01-02T17:18:31,0,1403,0,409,2854
2026-01-02T17:19:06,0,476,0,230,1046
2026-01-02T17:20:26,0,0,0,0,2
2026-01-02T17:21:38,0,0,0,0,2
2026-01-02T17:24:06,0,0,0,0,7
2026-01-02T17:25:06,0,0,0,0,2
2026-01-02T17:25:23,0,0,0,0,1
2026-01-02T17:26:08,0,1,0,1,2
2026-01-02T17:26:18,0,3257,0,976,4237
2026-01-02T17:26:28,0,2293,0,525,2817
2026-01-02T17:26:38,0,1676,0,431,2106
2026-01-02T17:26:48,0,2146,0,440,2585
2026-01-02T17:27:28,0,382,0,152,534
2026-01-02T17:29:06,0,0,0,0,8
2026-01-02T17:29:48,0,0,0,0,2
2026-01-02T17:34:06,0,0,0,0,2
2026-01-02T17:34:43,0,0,0,0,2
2026-01-02T17:36:39,0,0,0,0,2
2026-01-02T17:39:06,0,0,0,0,7
2026-01-02T18:10:14,0,1,0,1,1
2026-01-02T18:10:24,0,2525,0,843,3370
2026-01-02T18:10:34,0,2024,0,499,2525
2026-01-02T18:10:46,0,794,0,224,1018
2026-01-02T18:10:56,0,2386,0,958,3348
2026-01-02T18:11:06,0,2383,0,575,2960
2026-01-02T18:11:16,0,1401,0,162,1563
2026-01-02T18:11:26,0,1763,0,352,2115
2026-01-02T18:11:36,0,1532,0,436,1968
2026-01-02T18:11:46,0,1120,0,294,1413
2026-01-02T18:11:56,0,2069,0,484,2553
2026-01-02T18:12:06,0,1734,0,479,2213
2026-01-02T18:12:16,0,2083,0,524,2606
2026-01-02T18:12:26,0,1889,0,438,2327
2026-01-02T18:12:36,0,1300,0,368,1669
2026-01-02T18:12:46,0,1409,0,343,1751
2026-01-02T18:12:56,0,1108,0,217,1324
2026-01-02T18:13:06,0,1836,0,571,2407
2026-01-02T18:13:16,0,1457,0,431,1887
2026-01-02T18:13:26,0,1676,0,436,2112
2026-01-02T18:13:36,0,1573,0,442,2015
2026-01-02T18:13:46,0,1713,0,553,2266
2026-01-02T18:13:56,0,1457,0,406,1864
2026-01-02T18:15:20,0,3025,0,546,3571
2026-01-02T18:15:33,0,1291,0,231,1522
2026-01-02T18:15:43,0,2424,0,889,3316
2026-01-02T18:15:53,0,1597,0,301,1897
2026-01-02T18:16:03,0,2951,0,768,3721
2026-01-02T18:16:13,0,2067,0,489,2556
2026-01-02T18:16:23,0,1288,0,385,1672
2026-01-02T18:16:33,0,1768,0,444,2211
2026-01-02T18:16:43,0,1442,0,409,1850
2026-01-02T18:16:53,0,1501,0,525,2026
2026-01-02T18:17:03,0,1372,0,439,1810
2026-01-02T18:17:13,0,1278,0,343,1620
2026-01-02T18:17:23,0,1237,0,240,1476
2026-01-02T18:17:33,0,1377,0,323,1699
2026-01-02T18:17:43,0,1605,0,498,2102
2026-01-02T18:17:53,0,1787,0,541,2329
2026-01-02T18:18:03,0,1677,0,562,2240
2026-01-02T18:18:13,0,1668,0,245,1913
2026-01-02T18:18:23,0,1700,0,364,2063
